repo,run_id,generated_at,framework,label,mode,used_critic,overall_score,core_overall_score,total_duration_seconds,input_tokens,output_tokens,total_tokens,n_questions,n_core_questions,n_variation_questions,summary
MovieHub,20260421_002501_debug_compare,2026-04-21 00:28:46,Critic Off,Multi-Agent Critic Off,multi_agent,False,57.65,97.14285714285714,24.857,21491,1873,23364,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, data flows, and external integrations. However, it lacks detail on specific implementation aspects, such as the role of `db_script.sql`, EJS templates, `my_scripts.js`, and environment differentiation. While the diagram aligns well with the repository answers for general architectural questions, it falls short on questions requiring detailed implementation insights."
MovieHub,20260421_002501_debug_compare,2026-04-21 00:28:46,Critic On,Multi-Agent Critic On,multi_agent,True,57.65,97.14285714285714,46.851,30829,3463,34292,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately identifying the main subsystems, runtime boundaries, and data/control flows. However, it lacks detail on specific implementation aspects, such as the role of `db_script.sql`, EJS templates, `my_scripts.js`, and environment differentiation. These omissions result in lower scores for questions requiring detailed or specific information."
MovieHub,20260421_002501_debug_compare,2026-04-21 00:28:46,Single Shot,Single Shot,single_prompt,False,51.76,91.42857142857143,8.62,2973,511,3484,17,7,10,"The diagram provides a high-level overview of the system, accurately identifying the main subsystems, runtime boundaries, and external integrations. However, it lacks detail on specific components like the `db_script.sql` file, EJS templates, `my_scripts.js`, and environment-specific configurations. Additionally, it omits key data flows between the client-side JavaScript and the server-side application, as well as the role of static resource handling."
MovieHub,20260421_003008_debug_compare,2026-04-21 00:33:58,Critic Off,Multi-Agent Critic Off,multi_agent,False,54.12,97.14285714285714,26.523,21543,1879,23422,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately identifying the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as the role of `db_script.sql`, EJS templates, `my_scripts.js`, and environment-specific configurations. While the diagram aligns well with the repository answers for general architecture, it omits critical details about specific files and their roles in the system."
MovieHub,20260421_003008_debug_compare,2026-04-21 00:33:58,Critic On,Multi-Agent Critic On,multi_agent,True,58.82,97.14285714285714,49.998,30903,3621,34524,17,7,10,"The diagram provides a high-level overview of the system, accurately capturing the main subsystems, runtime boundaries, and data/control flows. However, it lacks details about specific implementation aspects, such as the use of EJS templates, `db_script.sql`, `resources/js/my_scripts.js`, and static resources. These omissions result in lower scores for questions requiring detailed architectural or implementation insights."
MovieHub,20260421_003008_debug_compare,2026-04-21 00:33:58,Single Shot,Single Shot,single_prompt,False,58.82,91.42857142857143,7.071,2973,506,3479,17,7,10,"The diagram provides a high-level overview of the system, accurately identifying the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific components such as EJS templates, `db_script.sql`, and environment-specific configurations. While it aligns well with the repository answers for general architecture, it omits critical implementation details, leading to lower scores for questions requiring finer granularity."
MovieHub,20260421_003522_debug_compare,2026-04-21 00:39:14,Critic Off,Multi-Agent Critic Off,multi_agent,False,55.29,97.14285714285714,25.614,21339,1686,23025,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, data flows, and runtime boundaries. However, it lacks details about specific components like the `db_script.sql` file, EJS templates, client-side JavaScript, and environment-specific configurations. While the diagram aligns well with the repository answer for general architecture questions, it falls short on implementation-specific details."
MovieHub,20260421_003522_debug_compare,2026-04-21 00:39:14,Critic On,Multi-Agent Critic On,multi_agent,True,54.12,97.14285714285714,51.909,31435,3783,35218,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data flows. However, it lacks details about specific implementation aspects, such as the `db_script.sql` file, EJS templates, environment-specific configurations, and validation processes. While the diagram aligns well with the repository's general structure, it omits critical details necessary for a complete understanding of the system's functionality."
MovieHub,20260421_003522_debug_compare,2026-04-21 00:39:14,Single Shot,Single Shot,single_prompt,False,64.71,97.14285714285714,10.372,2973,578,3551,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, data flows, and external integrations. However, it lacks detail on specific implementation aspects, such as the role of EJS templates, environment-specific configurations, and validation mechanisms. While it aligns well with the repository answers for general architecture and data flow, it omits critical details about runtime operations and specific file roles."
MovieHub,20260421_003948_debug_compare,2026-04-21 00:43:36,Critic Off,Multi-Agent Critic Off,multi_agent,False,60.0,97.14285714285714,27.523,21644,2090,23734,17,7,10,"The diagram provides a high-level overview of the system, accurately capturing the main subsystems, runtime boundaries, data flows, and external integrations. However, it lacks detail on specific implementation aspects, such as the role of `db_script.sql`, EJS templates, `my_scripts.js`, and environment-specific configurations. These omissions result in lower scores for questions requiring detailed architectural or implementation insights."
MovieHub,20260421_003948_debug_compare,2026-04-21 00:43:36,Critic On,Multi-Agent Critic On,multi_agent,True,48.24,91.42857142857143,47.848,30634,3402,34036,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately identifying the main subsystems, runtime boundaries, and external integrations. However, it lacks detail on specific implementation aspects, such as the role of `db_script.sql`, EJS templates, `my_scripts.js`, and environment differentiation. These omissions result in lower scores for questions requiring detailed architectural or implementation insights."
MovieHub,20260421_003948_debug_compare,2026-04-21 00:43:36,Single Shot,Single Shot,single_prompt,False,61.18,91.42857142857143,6.957,2973,519,3492,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately identifying the main subsystems, runtime boundaries, and external integrations. However, it lacks detail on specific components like EJS templates, `my_scripts.js`, and environment differentiation. Additionally, it does not fully capture the data flows and coordination mechanisms described in the repository answer."
MovieHub,20260421_004357_debug_compare,2026-04-21 00:47:41,Critic Off,Multi-Agent Critic Off,multi_agent,False,58.82,97.14285714285714,29.902,21465,1830,23295,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data/control flows. However, it lacks detail on specific implementation aspects, such as the database schema, runtime configurations, static resource management, and the roles of specific files like 'server.js' and 'resources/js/my_scripts.js'. While the diagram aligns well with the repository answers for general architecture, it misses critical details about the application's functionality and implementation."
MovieHub,20260421_004357_debug_compare,2026-04-21 00:47:41,Critic On,Multi-Agent Critic On,multi_agent,True,57.65,94.28571428571428,46.411,30291,3523,33814,17,7,10,"The diagram provides a high-level overview of the system's architecture, including the main subsystems, runtime boundaries, and data/control flows. It accurately captures the integration with the OMDB API and the PostgreSQL database, as well as the role of the Node.js server as the orchestrator. However, it lacks detail on specific implementation aspects, such as the database schema, runtime configurations, static resource management, and the role of specific files like 'resources/js/my_scripts.js' and 'ejs'."
MovieHub,20260421_004357_debug_compare,2026-04-21 00:47:41,Single Shot,Single Shot,single_prompt,False,54.12,94.28571428571428,7.582,2973,558,3531,17,7,10,"The diagram provides a high-level overview of the system's architecture, including the main subsystems, runtime boundaries, and data/control flows. However, it lacks detail on specific implementation aspects, such as the role of 'server.js', 'resources/js/my_scripts.js', and the database schema. Additionally, it does not address runtime configurations, security, or error handling. While the diagram aligns well with the repository answer for general architecture questions, it falls short on implementation-specific details."
MovieHub,20260421_004822_debug_compare,2026-04-21 00:51:58,Critic Off,Multi-Agent Critic Off,multi_agent,False,49.41,97.14285714285714,29.452,21485,2092,23577,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, data flows, and external integrations. However, it lacks detail on specific implementation aspects, such as database schema alignment, environment-specific configurations, static resource management, and user input handling. While the diagram aligns well with the repository answers for general architectural elements, it fails to address more granular details, leading to lower scores for those questions."
MovieHub,20260421_004822_debug_compare,2026-04-21 00:51:58,Critic On,Multi-Agent Critic On,multi_agent,True,51.76,97.14285714285714,50.733,30963,3555,34518,17,7,10,"The diagram captures the high-level architecture and interactions between the main subsystems, including the frontend, backend, database, and external API, with strong alignment on runtime boundaries and data/control flows. However, it lacks detail on specific implementation aspects, such as database schema relationships, environment configurations, routes, static resource management, and user input handling, which are critical to the repository's functionality."
MovieHub,20260421_004822_debug_compare,2026-04-21 00:51:58,Single Shot,Single Shot,single_prompt,False,48.24,88.57142857142857,6.83,2973,523,3496,17,7,10,"The diagram captures the high-level architecture and main subsystems of the repository, including the frontend, backend, database, and OMDB API. However, it lacks detail about specific implementation aspects, such as database schema interactions, environment-specific configurations, routes, and user input handling. The repository-grounded answers provide a more comprehensive view of the system's functionality and design."
MovieHub,20260421_005252_debug_compare,2026-04-21 00:56:33,Critic Off,Multi-Agent Critic Off,multi_agent,False,55.29,97.14285714285714,23.807,21517,1831,23348,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as the role of `db_script.sql`, EJS templates, `my_scripts.js`, and environment differentiation. These omissions result in lower scores for questions requiring detailed architectural insights."
MovieHub,20260421_005252_debug_compare,2026-04-21 00:56:33,Critic On,Multi-Agent Critic On,multi_agent,True,78.82,97.14285714285714,45.945,30384,3537,33921,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, data flows, and the role of the Node.js server. However, it lacks detail on specific implementation aspects, such as EJS templates, `my_scripts.js`, and the `isProduction` flag, which are described in the repository answer. The diagram is most effective in illustrating the system's structure and interactions but falls short in representing finer implementation details."
MovieHub,20260421_005252_debug_compare,2026-04-21 00:56:33,Single Shot,Single Shot,single_prompt,False,63.53,97.14285714285714,7.821,2973,558,3531,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as the role of `db_script.sql`, EJS templates, and environment differentiation, which are critical to understanding the repository's functionality."
MovieHub,20260421_005717_debug_compare,2026-04-21 01:00:56,Critic Off,Multi-Agent Critic Off,multi_agent,False,57.65,94.28571428571428,24.215,21441,1793,23234,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately identifying the main subsystems, runtime boundaries, and data/control flows. However, it lacks details about specific implementation aspects, such as the role of `db_script.sql`, EJS templates, `my_scripts.js`, and environment-specific configurations. While the diagram aligns well with the repository answers for general architectural questions, it fails to capture file-specific and implementation-specific details."
MovieHub,20260421_005717_debug_compare,2026-04-21 01:00:56,Critic On,Multi-Agent Critic On,multi_agent,True,61.18,97.14285714285714,50.995,31340,3764,35104,17,7,10,"The diagram provides a high-level overview of the system, accurately capturing the main subsystems, data flows, and external integrations. However, it lacks detail on specific implementation aspects, such as the use of Express, PostgreSQL, EJS templates, and environment-specific configurations. Additionally, it does not address certain files and their roles, such as `db_script.sql` and `resources/js/my_scripts.js`."
MovieHub,20260421_005717_debug_compare,2026-04-21 01:00:56,Single Shot,Single Shot,single_prompt,False,64.71,94.28571428571428,6.879,2973,522,3495,17,7,10,"The diagram captures the high-level architecture and main subsystems of the repository, including the frontend, backend, database, and external API, with accurate representation of runtime boundaries and data flows. However, it lacks detail on specific implementation aspects, such as the role of `db_script.sql`, EJS templates, client-side JavaScript interactions, and environment-specific configurations. These omissions result in lower scores for questions requiring detailed explanations of these components."
MovieHub,20260421_010119_debug_compare,2026-04-21 01:05:11,Critic Off,Multi-Agent Critic Off,multi_agent,False,40.0,97.14285714285714,29.135,21376,1976,23352,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data/control flows. However, it lacks detail on specific implementation aspects, such as database schema interactions, environment configurations, routes, static resource management, and user input handling. This limits its ability to address questions requiring deeper insights into the repository's code and functionality."
MovieHub,20260421_010119_debug_compare,2026-04-21 01:05:11,Critic On,Multi-Agent Critic On,multi_agent,True,55.29,97.14285714285714,54.601,31101,3745,34846,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, data flows, and the role of the Node.js server as an orchestrator. However, it lacks critical details about specific implementation aspects, such as the database schema, routes, static resource management, and user input handling, which are described in the repository-grounded answers. The diagram is most effective at illustrating the system's structure but falls short in representing finer-grained implementation details."
MovieHub,20260421_010119_debug_compare,2026-04-21 01:05:11,Single Shot,Single Shot,single_prompt,False,50.59,91.42857142857143,8.273,2973,503,3476,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately identifying the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as database schema alignment, route definitions, environment handling, and user input validation. While it aligns well with the repository-grounded answers for general architecture questions, it falls short on more detailed or specific questions."
MovieHub,20260421_010556_debug_compare,2026-04-21 01:09:49,Critic Off,Multi-Agent Critic Off,multi_agent,False,64.71,97.14285714285714,28.529,21298,1797,23095,17,7,10,"The diagram captures the high-level architecture and runtime boundaries of the system well, including the main subsystems, data flows, and external integrations. However, it lacks detail on specific implementation aspects, such as file-level roles, route-specific functionality, templating, and environment-specific configurations. This results in lower scores for questions requiring detailed or file-specific insights."
MovieHub,20260421_010556_debug_compare,2026-04-21 01:09:49,Critic On,Multi-Agent Critic On,multi_agent,True,76.47,97.14285714285714,55.847,32566,4233,36799,17,7,10,"The diagram captures the high-level architecture and interactions of the system well, including the main subsystems, runtime boundaries, and data/control flows. However, it lacks detail on specific implementation aspects, such as the integration mechanism between the Node.js server and the PostgreSQL database, environment-specific configurations, and the structure of AJAX interactions. Additionally, it does not address specific routes like `review_info` or provide details about the EJS views."
MovieHub,20260421_010556_debug_compare,2026-04-21 01:09:49,Single Shot,Single Shot,single_prompt,False,55.29,88.57142857142857,9.24,2973,508,3481,17,7,10,"The diagram provides a high-level overview of the system's architecture, including the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as the integration between the Express server and PostgreSQL, the use of the `ejs` templating engine, and environment-specific configurations. While it aligns well with some questions, it fails to address others, particularly those requiring detailed explanations of specific routes, data flows, or separation of concerns."
MovieHub,20260421_011027_debug_compare,2026-04-21 01:14:18,Critic Off,Multi-Agent Critic Off,multi_agent,False,60.0,97.14285714285714,26.001,21521,1861,23382,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately identifying the main subsystems, runtime boundaries, and data/control flows. However, it lacks detail on specific implementation aspects, such as database schema interactions, environment configurations, static resource management, and user-submitted reviews. While the diagram effectively captures the separation of concerns and the integration with the OMDB API, it omits critical details about the repository's internal files and their roles."
MovieHub,20260421_011027_debug_compare,2026-04-21 01:14:18,Critic On,Multi-Agent Critic On,multi_agent,True,65.88,97.14285714285714,54.768,30815,3717,34532,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as database schema interactions, route definitions, static resource management, and dependencies. While it aligns well with the repository answers for general architecture and subsystem relationships, it falls short in addressing finer-grained details about the application's functionality and configuration."
MovieHub,20260421_011027_debug_compare,2026-04-21 01:14:18,Single Shot,Single Shot,single_prompt,False,58.82,94.28571428571428,8.224,2973,510,3483,17,7,10,"The diagram captures the high-level architecture and data flows of the system, including the main subsystems, runtime boundaries, and external integrations. However, it lacks detail on specific implementation aspects, such as database schema relationships, environment configurations, static resource management, and user-submitted reviews. While the diagram aligns well with the repository-grounded answers for general architecture, it omits critical details about specific files and their roles in the system."
MovieHub,20260421_011531_debug_compare,2026-04-21 01:19:13,Critic Off,Multi-Agent Critic Off,multi_agent,False,60.0,97.14285714285714,27.287,21377,1856,23233,17,7,10,"The diagram captures the high-level architecture and main data/control flows of the system well, including the subsystems, runtime boundaries, and external integrations. However, it lacks detail on specific components like `db_script.sql`, EJS templates, and client-side JavaScript. Additionally, it omits critical aspects such as error handling mechanisms and environment differentiation."
MovieHub,20260421_011531_debug_compare,2026-04-21 01:19:13,Critic On,Multi-Agent Critic On,multi_agent,True,68.24,97.14285714285714,45.024,30852,3593,34445,17,7,10,"The diagram captures the high-level architecture and interactions between the main subsystems, including the Web UI, Node.js server, Movie Database, and OMDB API. However, it lacks details about specific implementation aspects, such as the `db_script.sql` file, EJS templates, and error handling mechanisms. While the diagram aligns well with the repository-grounded answers for general architecture and data flows, it omits critical details about development/production differentiation, database structure, and specific file roles like `server.js`."
MovieHub,20260421_011531_debug_compare,2026-04-21 01:19:13,Single Shot,Single Shot,single_prompt,False,62.35,97.14285714285714,7.91,2973,558,3531,17,7,10,"The diagram provides a high-level overview of the system, accurately identifying the main subsystems, runtime boundaries, and data/control flows. However, it lacks details about specific components such as the `db_script.sql` file, EJS templates, and environment differentiation. While the diagram captures the general architecture, it omits critical implementation details described in the repository."
MovieHub,20260421_011938_debug_compare,2026-04-21 01:23:18,Critic Off,Multi-Agent Critic Off,multi_agent,False,65.88,97.14285714285714,23.962,21285,1681,22966,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as the role of `db_script.sql`, the use of EJS templates, and the differentiation between development and production environments. While the diagram aligns well with the repository answers for general architectural components, it omits critical details about specific files and their roles in the system."
MovieHub,20260421_011938_debug_compare,2026-04-21 01:23:18,Critic On,Multi-Agent Critic On,multi_agent,True,68.24,97.14285714285714,50.043,30081,3262,33343,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, data flows, and external integrations. However, it lacks detail on specific implementation aspects, such as the role of `db_script.sql`, EJS templates, and client-side JavaScript interactions. While the diagram aligns well with the repository answers for general architecture, it misses critical details about specific files and their roles in the system."
MovieHub,20260421_011938_debug_compare,2026-04-21 01:23:18,Single Shot,Single Shot,single_prompt,False,62.35,91.42857142857143,8.903,2973,518,3491,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately identifying the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific components like the `db_script.sql` file, EJS templates, and `my_scripts.js`, as well as environment differentiation and database schema alignment. While the diagram captures the general structure and interactions, it omits several key details provided in the repository answers."
MovieHub,20260421_012329_debug_compare,2026-04-21 01:27:14,Critic Off,Multi-Agent Critic Off,multi_agent,False,54.12,91.42857142857143,25.482,21516,1970,23486,17,7,10,"The diagram captures the high-level architecture and data flows of the system, including the main subsystems and their interactions. However, it omits critical details about specific files, such as `resources/js/my_scripts.js`, the database schema, and runtime configurations. Additionally, it lacks information about user-submitted reviews, views rendered by the server, and dependencies, leading to lower scores for several questions."
MovieHub,20260421_012329_debug_compare,2026-04-21 01:27:14,Critic On,Multi-Agent Critic On,multi_agent,True,63.53,97.14285714285714,50.818,30609,3515,34124,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, data flows, and external integrations. However, it lacks detail on specific implementation aspects, such as database schema relationships, runtime configurations, static resource handling, and user-submitted reviews. While it aligns well with the repository-grounded answers for general architecture and data flows, it falls short in addressing finer-grained details and specific file roles."
MovieHub,20260421_012329_debug_compare,2026-04-21 01:27:14,Single Shot,Single Shot,single_prompt,False,52.94,97.14285714285714,8.053,2973,564,3537,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, data flows, and integration with the OMDb API. However, it lacks detail on specific implementation aspects, such as database schema relationships, runtime configurations, user-submitted reviews, and static resource handling."
